period,start,end,strategy_return,equal_weight_return,static_60_40_return,strategy_minus_equal_weight,strategy_minus_static_60_40
2008,2008-05-31,2008-12-31,-0.25761494601652546,-0.25761494601652546,-0.2012911825418202,0.0,-0.056323763474705246
2009,2009-01-31,2009-12-31,0.2373598022078196,0.2373598022078196,0.15676465975836118,0.0,0.08059514244945842
2010,2010-01-31,2010-12-31,0.18719976856682208,0.18719976856682208,0.15316751466261214,0.0,0.03403225390420994
2011,2011-01-31,2011-12-31,0.0842100714903029,0.0842100714903029,0.17795179718083598,0.0,-0.09374172569053307
2012,2012-01-31,2012-12-31,0.06893775304131866,0.06893775304131866,0.1004812183160455,0.0,-0.031543465274726845
2013,2013-01-31,2013-12-31,0.024564172569562448,0.024564172569562448,0.10557170697900564,0.0,-0.0810075344094432
2014,2014-01-31,2014-12-31,0.04609438656344489,0.08076540654816111,0.21062706822376742,-0.03467101998471622,-0.16453268166032253
2015,2015-01-31,2015-12-31,-0.031292924062434224,-0.06624449136067534,-0.022884916278532397,0.034951567298241115,-0.008408007783901827
2016,2016-01-31,2016-12-31,0.1336884591132459,0.12395566788522538,0.10360290070582234,0.00973279122802051,0.03008555840742355
2017,2017-01-31,2017-12-31,0.19179978734362657,0.12812178066568602,0.17387014584323057,0.06367800667794055,0.017929641500396
2018,2018-01-31,2018-12-31,0.03785645041100483,-0.00846991926198637,-0.002044071396393621,0.0463263696729912,0.03990052180739845
2019,2019-01-31,2019-12-31,0.10209179087059628,0.12550709560297846,0.22667397559939428,-0.02341530473238218,-0.124582184728798
2020,2020-01-31,2020-12-31,0.1576098151619203,0.131569363864513,0.13840398679409915,0.026040451297407285,0.019205828367821143
2021,2021-01-31,2021-12-31,0.06944406880996712,0.08635889069675473,0.11448185514041942,-0.016914821886787612,-0.0450377863304523
2022,2022-01-31,2022-12-31,0.05352729430846037,-0.05182221223278083,-0.1400554019407526,0.1053495065412412,0.19358269624921298
2023,2023-01-31,2023-12-31,0.11686039612051902,0.05696996843332469,0.09034244091594057,0.059890427687194325,0.026517955204578447
2024,2024-01-31,2024-12-31,0.13805355866503466,0.12951643433286142,0.1261873321451945,0.00853712433217324,0.01186622651984015
2025,2025-01-31,2025-12-31,0.10422622720588537,0.17912043882308204,0.11348015347639873,-0.07489421161719667,-0.009253926270513357
2026,2026-01-31,2026-03-31,0.03491348315132137,0.05174884977788796,0.023825711226092228,-0.016835366626566595,0.01108777192522914
